"event_date","country","channel","user_id","order_id","revenue"
"2024-09-29","null","search","75409","809307","26.37"
"2024-11-14","FR","direct","GUEST_USER","795250","38.41"
"2025-12-31","IN","search","128548","819328","7.63"
"2025-12-31","FR","social","199608","647467","-50.00"
"2025-02-11","FR","search","18424","391504","46.93"
"2026-07-16","US","direct","-1","352169","40.25"
"2025-02-21","FR","email","133917","298197","57.56"
"INVALID_DATE","JP","search","15686","592581","39.82"
"2026-03-31","DE","search","44104","872532","60.87"
"2024-12-27","FR","social","168156","433315","89.36"
